序号,电影类别,编码,公映证号,片名,第一出品单位,公示批次链接,公示名称,公示日期
1,国产故事片,1100042021,4,韩家军镖客,宁波邦和影视传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
2,国产故事片,1100052021,5,追龙擒虎,耳东影业（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
3,国产故事片,1100112021,11,筑梦之路,贵州宏遨文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
4,国产故事片,1100142021,14,镖不过津,宁波邦和影视传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
5,国产故事片,1100172021,17,山雨云野,象形影视（广州）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
6,国产故事片,1100192021,20,安魂,河南电影电视制作集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
7,国产故事片,1100202021,21,筋饼之恋,兰西县宽泉文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
8,国产故事片,1100342021,35,我没谈完的那场恋爱,陕西旅游集团影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
9,国产故事片,1100352021,36,我不是葫芦瓢,石家庄瑞利影视文化传播中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
10,国产故事片,1100412021,41,桑丘的故事,中国电影股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
11,国产故事片,1100462021,45,英雄武松,郓城骏泽影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
12,国产故事片,1100472021,46,黄金土,陕西道佐影视文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
13,国产故事片,1100502021,49,快乐密码,大连雍和影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
14,国产故事片,1100512021,50,闪耀的星空,山东启星汇文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
15,国产故事片,1100522021,51,AR物语,浙江东盛辰光影视有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
16,国产故事片,1100572021,56,留住春天,北京杰钊影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
17,国产故事片,1100622021,61,血战狙击岭,海宁柒久影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
18,国产故事片,1100682021,67,不欺不遇,浙江天映影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
19,国产故事片,1100712021,68,小城警事多,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
20,国产故事片,1105942020,70,99万次拥抱,电影频道节目中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
21,国产故事片,1100792021,72,永远是少年,陕西文化产业（影视）投资有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
22,国产故事片,1100922021,88,燃烧的玫瑰湖,临沂市尚慈影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
23,国产故事片,1100962021,92,南少林永春拳之开山始祖,广东星媒影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
24,国产故事片,1100972021,93,南少林永春拳之坚贞守护,广东星媒影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
25,国产故事片,1100982021,94,南少林永春拳之突破重围,广东星媒影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
26,国产故事片,1100732021,95,童年周恩来,江苏楚云文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
27,国产故事片,1101262021,116,悬崖之上,中国电影股份有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
28,国产故事片,1101602021,160,扫黑·决战,爱奇艺影业（上海）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
29,国产故事片,1100932020,79,神钓,江西张品成文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
30,国产故事片,1104572020,88,柳青,西安多吉影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
31,国产故事片,1101192020,107,鼠辈之名,成都觅窝文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
32,国产故事片,1101732020,147,生死危途,北京浩然之气影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
33,国产故事片,1102062020,182,深爱,深圳前海君胜米伦影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
34,国产故事片,1103342020,310,曾经的我们致70·80·90,河北旭梦文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
35,国产故事片,1103372020,313,爱情对话框,厦门午臣影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
36,国产故事片,1103382020,314,冥绝村,青岛汇通航影视文化传媒中心（有限合伙）,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
37,国产故事片,1103532020,329,后池新愚公,河北众慧众智文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
38,国产故事片,1103942020,345,七天大圣,北京新锐洁萌文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
39,国产故事片,1104202020,364,再见！秦大人,日照光影国际电影有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
40,国产故事片,1104082020,378,秘密访客,新丽传媒集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
41,国产故事片,1104402020,388,我要我们在一起,工夫影业（宁波）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
42,国产故事片,1104392020,391,寻人启示录,江苏大鱼影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
43,国产故事片,1104422020,392,候鸟,霍尔果斯龙骏影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12
